snapshot_id,page,row,col,x,y,w,h,dark_ratio,figure_no_guess,file
421,100,2,2,393,292,252,313,0.255059,,diagram_snapshots/diagram_0421_p100_r2c2.png
422,100,2,3,657,292,303,313,0.240808,,diagram_snapshots/diagram_0422_p100_r2c3.png
423,100,3,1,59,617,322,245,0.146229,,diagram_snapshots/diagram_0423_p100_r3c1.png
424,100,3,2,393,617,252,245,0.164156,,diagram_snapshots/diagram_0424_p100_r3c2.png
425,100,3,3,657,617,303,245,0.196417,,diagram_snapshots/diagram_0425_p100_r3c3.png
426,100,4,1,59,874,322,325,0.260583,,diagram_snapshots/diagram_0426_p100_r4c1.png
427,100,4,2,393,874,252,325,0.177546,,diagram_snapshots/diagram_0427_p100_r4c2.png
428,100,4,3,657,874,303,325,0.176715,,diagram_snapshots/diagram_0428_p100_r4c3.png
429,101,1,1,11,210,892,72,0.046836,,diagram_snapshots/diagram_0429_p101_r1c1.png
430,101,2,1,11,294,892,886,0.141512,,diagram_snapshots/diagram_0430_p101_r2c1.png
431,102,1,1,70,197,900,77,0.159423,,diagram_snapshots/diagram_0431_p102_r1c1.png
432,102,2,1,70,286,900,310,0.177319,,diagram_snapshots/diagram_0432_p102_r2c1.png
433,102,3,1,70,608,900,243,0.204188,,diagram_snapshots/diagram_0433_p102_r3c1.png
434,102,4,1,70,863,900,318,0.267086,,diagram_snapshots/diagram_0434_p102_r4c1.png
435,103,1,1,14,189,900,997,0.12359,,diagram_snapshots/diagram_0435_p103_r1c1.png
436,104,1,1,54,191,312,79,0.089581,,diagram_snapshots/diagram_0436_p104_r1c1.png
437,104,1,2,378,191,252,79,0.15436,,diagram_snapshots/diagram_0437_p104_r1c2.png
438,104,1,3,642,191,308,79,0.051701,,diagram_snapshots/diagram_0438_p104_r1c3.png
439,104,2,1,54,282,312,560,0.109982,,diagram_snapshots/diagram_0439_p104_r2c1.png
440,104,2,2,378,282,252,560,0.13181,,diagram_snapshots/diagram_0440_p104_r2c2.png
441,104,2,3,642,282,308,560,0.123835,,diagram_snapshots/diagram_0441_p104_r2c3.png
442,104,3,1,54,854,312,321,0.179767,,diagram_snapshots/diagram_0442_p104_r3c1.png
443,104,3,2,378,854,252,321,0.253709,,diagram_snapshots/diagram_0443_p104_r3c2.png
444,104,3,3,642,854,308,321,0.247805,,diagram_snapshots/diagram_0444_p104_r3c3.png
445,105,1,1,20,215,888,975,0.137413,,diagram_snapshots/diagram_0445_p105_r1c1.png
446,106,1,1,58,194,889,72,0.108002,,diagram_snapshots/diagram_0446_p106_r1c1.png
447,106,2,1,58,278,889,310,0.171516,,diagram_snapshots/diagram_0447_p106_r2c1.png
448,106,3,1,58,600,889,574,0.22615,,diagram_snapshots/diagram_0448_p106_r3c1.png
449,107,1,1,26,212,902,998,0.140487,,diagram_snapshots/diagram_0449_p107_r1c1.png
450,108,1,1,37,172,920,422,0.223156,,diagram_snapshots/diagram_0450_p108_r1c1.png
